sample_887	sample_257	sample_377	sample_594	sample_220	sample_352	sample_266	sample_665	sample_986	sample_699	sample_593	sample_111	sample_88	sample_446	sample_267	sample_188	sample_973	sample_325	sample_211	sample_660	sample_901	sample_116	sample_669	sample_588	sample_358	sample_215	sample_76	sample_265	sample_46	sample_182	sample_936	sample_546	sample_280	sample_994	sample_262	sample_15	sample_978	sample_828	sample_423	sample_899	sample_898	sample_792	sample_734	sample_242	sample_49	sample_644	sample_61	sample_837	sample_443	sample_469	sample_808	sample_954	sample_195	sample_789	sample_557	sample_194	sample_632	sample_860	sample_886	sample_841	sample_34	sample_780	sample_334	sample_387	sample_612	sample_433	sample_798	sample_793	sample_246	sample_166	sample_183	sample_44	sample_498	sample_293	sample_866	sample_929	sample_278	sample_778	sample_630	sample_795	sample_140	sample_829	sample_673	sample_732	sample_59	sample_83	sample_613	sample_646	sample_180	sample_200	sample_809	sample_471	sample_979	sample_518	sample_87	sample_714	sample_411	sample_722	sample_512	sample_289	sample_786	sample_28	sample_404	sample_122	sample_238	sample_64	sample_31	sample_730	sample_131	sample_696	sample_843	sample_909	sample_707	sample_317	sample_441	sample_721	sample_277	sample_344	sample_189	sample_713	sample_400	sample_604	sample_154	sample_38	sample_904	sample_508	sample_436	sample_442	sample_233	sample_692	sample_870	sample_10	sample_602	sample_158	sample_307	sample_631	sample_424	sample_519	sample_305	sample_354	sample_955	sample_376	sample_229	sample_524	sample_231	sample_385	sample_218	sample_657	sample_142	sample_248	sample_641	sample_148	sample_663	sample_435	sample_548	sample_906	sample_896	sample_306	sample_514	sample_201	sample_664	sample_872	sample_757	sample_768	sample_988	sample_737	sample_788	sample_831	sample_827	sample_879	sample_802	sample_349	sample_958	sample_703	sample_525	sample_473	sample_197	sample_645	sample_848	sample_946	sample_147	sample_234	sample_396	sample_920	sample_564	sample_626	sample_764	sample_401	sample_310	sample_228	sample_796	sample_409	sample_239	sample_323	sample_146	sample_987	sample_969	sample_889	sample_448	sample_515
taxon_76	13571752	24011561	31841418	31058433	32885399	15920709	22706585	4697914	16181704	15920709	8873838	12266776	15659714	11483790	31841418	16442700	16964690	20357628	39149285	7829857	19313647	15659714	14876728	21401609	18530661	13049762	11483790	28187485	18269666	37061323	6785876	10439809	33146394	28187485	31319428	40454261	17486680	25055542	13571752	16442700	9656824	17225685	15659714	12005781	29231466	30275447	17747676	11222795	11744785	16964690	14093742	14354738	18008671	25577533	8090852	16703695	17747676	26099523	15920709	16181704	2609952	26621514	14615733	19313647	24533552	15137723	4175924	22184595	24533552	27665495	10700804	6002890	22967580	17486680	13571752	25577533	42020232	25316537	27404499	8612843	12788766	8090852	32363409	12527771	34712366	10700804	18008671	22967580	11483790	7307866	27665495	29231466	18269666	8090852	19313647	28187485	8090852	37322318	10178814	24011561	30014452	12788766	10700804	40976251	29492461	6785876	12005781	13049762	16442700	6785876	21140614	32363409	13832747	24533552	16442700	4436919	4958909	18008671	34712366	8090852	21923599	18008671	19835638	9134833	4436919	18008671	22967580	14093742	24794547	4436919	22706585	13310757	36800328	13049762	11222795	17486680	21662604	19313647	23489571	20357628	6263886	30797437	16181704	14876728	25838528	11222795	8090852	26360518	14354738	24794547	36017342	1565971	10439809	18530661	22706585	20879619	18530661	10178814	7568862	7307866	18269666	9656824	23228576	20357628	14876728	38888289	20096633	42542223	32102413	13049762	24794547	14876728	18008671	9134833	10178814	18269666	8351847	24272557	5741895	54548003	17486680	31580423	29492461	14615733	18269666	5219905	5741895	26099523	21140614	36800328	19574642	10439809	36017342	24794547	18530661	8351847	28709475	35234356	7568862	47762127
taxon_90	14101408	21152111	4230422	111401119	62046193	12691267	1410141	28202815	16921689	57815771	2820282	2820282	7050704	18331830	0	43714363	29612956	0	1410141	4230422	74737460	5640563	71917178	2820282	4230422	23972393	9870985	9870985	36663660	2820282	4230422	33843378	4230422	9870985	53585349	8460845	0	11281126	7050704	100119993	47944786	43714363	40894082	4230422	1410141	0	14101408	1410141	43714363	21152111	26792674	14101408	4230422	1410141	1410141	21152111	26792674	40894082	21152111	32433237	4230422	5640563	2820282	2820282	46534645	52175208	9870985	7050704	1410141	4230422	26792674	11281126	1410141	53585349	8460845	22562252	18331830	1410141	11281126	8460845	40894082	1410141	4230422	1410141	2820282	59225912	33843378	26792674	4230422	2820282	46534645	80378023	14101408	71917178	63456334	1410141	11281126	4230422	84608445	19741971	31023097	5640563	2820282	0	21152111	16921689	4230422	23972393	7050704	1410141	8460845	12691267	2820282	47944786	2820282	14101408	29612956	45124504	11281126	2820282	4230422	5640563	9870985	59225912	2820282	15511548	2820282	4230422	2820282	21152111	12691267	0	21152111	11281126	9870985	81788164	59225912	63456334	46534645	19741971	1410141	28202815	9870985	1410141	23972393	7050704	0	32433237	2820282	12691267	46534645	12691267	8460845	38073800	18331830	39483941	47944786	52175208	1410141	16921689	125502527	76147601	2820282	32433237	4230422	4230422	22562252	19741971	1410141	31023097	11281126	1410141	54995489	50765067	1410141	0	18331830	26792674	2820282	12691267	84608445	19741971	4230422	40894082	107170697	25382534	52175208	14101408	18331830	9870985	2820282	11281126	25382534	5640563	5640563	8460845	14101408	36663660	57815771	29612956
taxon_156	23018562	5231491	1046298	21972264	60685299	15694474	28250053	131833581	171592915	5231491	6277790	4185193	7324088	3138895	7324088	31388948	105676124	2092597	12555579	5231491	38713036	18833369	34527843	13601877	8370386	28250053	23018562	9416684	58592703	48129720	6277790	21972264	5231491	0	57546404	21972264	0	12555579	0	46037124	42898229	182055898	82657563	1046298	16740772	1046298	33481544	7324088	10462983	7324088	20925965	9416684	9416684	20925965	14648176	88935352	39759334	43944527	15694474	23018562	0	13601877	6277790	7324088	17787070	24064860	0	7324088	15694474	66963089	80564966	12555579	7324088	7324088	14648176	46037124	21972264	2092597	2092597	17787070	73240878	11509281	0	3138895	0	199842968	92074247	15694474	11509281	15694474	87889054	126602090	113000212	6277790	7324088	4185193	1046298	8370386	18833369	1046298	3138895	8370386	37666737	3138895	30342650	4185193	43944527	75333475	0	1046298	5231491	63824194	2092597	12555579	16740772	14648176	8370386	65916791	20925965	8370386	12555579	1046298	0	2092597	130787283	41851930	15694474	5231491	12555579	46037124	33481544	8370386	25111158	54407510	18833369	25111158	43944527	41851930	9416684	2092597	30342650	49176018	23018562	23018562	28250053	24064860	2092597	10462983	34527843	9416684	111953914	38713036	52314913	9416684	28250053	1046298	11509281	17787070	1046298	13601877	38713036	61731597	0	62777896	13601877	14648176	14648176	30342650	15694474	70101984	6277790	50222317	129740985	68009387	18833369	8370386	5231491	28250053	0	8370386	8370386	0	24064860	197750372	39759334	19879667	18833369	13601877	0	14648176	3138895	1046298	31388948	11509281	0	10462983	10462983	46037124	37666737	87889054
taxon_119	11158336	1014394	0	13187125	7100759	24345461	5071971	1014394	18259096	5071971	0	3043183	1014394	0	2028788	1014394	3043183	1014394	1014394	1014394	6086365	2028788	15215913	8115154	1014394	5071971	19273490	2028788	21302278	1014394	4057577	11158336	1014394	1014394	1014394	0	0	7100759	0	3043183	2028788	21302278	5071971	2028788	19273490	3043183	22316672	0	5071971	2028788	16230307	6086365	20287884	1014394	9129548	19273490	9129548	29417432	1014394	2028788	0	1014394	0	0	5071971	30431826	2028788	0	1014394	3043183	5071971	2028788	0	9129548	5071971	3043183	6086365	10143942	3043183	6086365	2028788	0	1014394	2028788	0	28403038	0	4057577	0	1014394	21302278	3043183	0	1014394	0	0	2028788	0	10143942	1014394	1014394	0	0	5071971	6086365	1014394	14201519	0	3043183	7100759	0	9129548	0	2028788	6086365	17244701	4057577	0	17244701	3043183	1014394	3043183	0	1014394	12172730	6086365	2028788	1014394	2028788	7100759	16230307	0	1014394	5071971	13187125	2028788	18259096	6086365	1014394	2028788	5071971	2028788	1014394	5071971	11158336	3043183	1014394	6086365	3043183	0	8115154	9129548	2028788	3043183	2028788	16230307	16230307	0	1014394	0	7100759	3043183	1014394	15215913	11158336	0	0	5071971	2028788	19273490	2028788	5071971	2028788	1014394	2028788	0	12172730	40575768	0	3043183	12172730	0	1014394	20287884	8115154	11158336	0	0	9129548	0	0	3043183	16230307	4057577	1014394	2028788	1014394	45647739	8115154	9129548
taxon_256	2699398	215952	0	1403687	7018435	1187735	431904	1619639	4534989	1079759	323928	539880	431904	647856	0	1511663	2159519	0	2483446	0	9177954	1187735	7666291	107976	431904	4427013	0	647856	1511663	3023326	0	2915350	755831	539880	647856	0	0	431904	0	4642965	3563206	4103085	4427013	107976	107976	539880	2159519	107976	4534989	0	971783	323928	107976	647856	107976	0	4211061	1403687	0	323928	215952	0	863807	647856	5398796	215952	0	647856	107976	0	863807	0	107976	2159519	323928	755831	1511663	755831	8206170	431904	3239278	431904	323928	1295711	107976	863807	11013544	863807	1511663	1079759	3563206	3779157	3563206	6586532	107976	107976	107976	1187735	215952	323928	323928	647856	0	647856	107976	215952	107976	1727615	107976	0	539880	215952	0	0	107976	107976	2699398	2699398	1511663	107976	323928	539880	323928	2051543	863807	863807	431904	215952	431904	7342363	323928	863807	2699398	1511663	1403687	3239278	6910459	863807	1619639	215952	431904	5074869	323928	431904	107976	1943567	0	6802483	215952	0	1295711	4858917	647856	215952	539880	5722724	5290820	4966893	323928	2267494	1079759	1295711	107976	2267494	0	107976	863807	1835591	0	0	647856	107976	1403687	3023326	0	323928	215952	6154628	107976	6802483	3239278	431904	539880	2807374	3887133	1295711	0	755831	647856	2159519	647856	215952	4427013	107976	323928	971783	647856	539880	755831	647856
taxon_158	266761053	32195299	13797985	62090935	22996642	20696978	4599328	36794628	124181869	41393956	2299664	4599328	4599328	32195299	11498321	68989927	75888920	4599328	9198657	2299664	66690263	13797985	52892278	11498321	13797985	45993285	18397314	45993285	154077505	39094292	68989927	85087577	13797985	4599328	87387241	20696978	45993285	52892278	27595971	41393956	151777840	52892278	87387241	18397314	121882205	25296307	45993285	0	18397314	41393956	48292949	0	114983212	22996642	18397314	29895635	124181869	105784555	6898993	48292949	16097650	29895635	2299664	2299664	135680191	0	13797985	4599328	0	29895635	96585898	36794628	11498321	27595971	41393956	209269447	73589256	11498321	9198657	16097650	356447958	6898993	6898993	68989927	0	160976497	71289592	20696978	41393956	0	68989927	549619755	43693621	2299664	170175154	11498321	6898993	32195299	94286234	20696978	45993285	0	6898993	13797985	0	2299664	540421098	96585898	0	2299664	9198657	131080862	2299664	32195299	36794628	27595971	4599328	13797985	4599328	48292949	4599328	29895635	0	294357024	305855345	2299664	11498321	36794628	32195299	108084220	188572468	2299664	66690263	18397314	229966425	80488249	89686906	188572468	0	27595971	0	34494964	50592613	13797985	119582541	36794628	18397314	430037214	32195299	11498321	216168439	232266089	36794628	22996642	36794628	57491606	48292949	108084220	2299664	9198657	25296307	285158367	11498321	142579183	18397314	22996642	20696978	27595971	11498321	131080862	27595971	75888920	151777840	20696978	4599328	9198657	22996642	25296307	0	381744265	32195299	0	2299664	45993285	227666760	36794628	71289592	0	39094292	6898993	9198657	2299664	96585898	20696978	52892278	9198657	11498321	285158367	32195299	18397314
taxon_97	6961447	409497	2398482	1637988	1813486	22522330	2105984	15209885	5791456	10471421	1696487	0	935993	10237423	1930485	8365437	2047485	2164484	467996	818994	6844448	3626973	6610450	2749479	760494	1403989	2632480	701995	6902948	12109409	1403989	9476928	467996	1813486	2105984	2339982	877493	1988985	994492	13864395	6844448	13279400	8657935	760494	7663442	935993	5323460	467996	13279400	350997	4094969	4270468	12635905	1930485	2339982	5966955	20006849	11056417	584996	1228491	760494	818994	350997	1520989	10529921	5147961	877493	1228491	2047485	3568473	6902948	2222983	2573981	5849956	4387467	9769426	8072939	526496	1052992	3860971	9184431	2866478	935993	935993	1637988	12811403	12518906	11114916	1052992	15970379	1637988	11114916	4738464	4621465	4796964	526496	175499	4211968	6376452	818994	3568473	1345490	1696487	2105984	2983477	1403989	1579488	20591845	1169991	2047485	2339982	10237423	526496	3392974	1228491	4094969	20065349	7546443	4562966	1520989	1754987	2281483	2222983	1286990	8014440	21001342	2515481	5206461	877493	12109409	18661359	3334475	12050909	9476928	116999	14566390	16730874	3802471	11816911	994492	3217476	19772851	2047485	526496	2281483	5498959	4445966	10529921	2924978	1169991	15853380	1696487	6259453	994492	18895357	3451474	11407414	18719859	2339982	2515481	8014440	12284907	4621465	9944925	643495	526496	877493	4738464	350997	4211968	1871986	6668950	8189938	14449391	1228491	1403989	58500	7429444	58500	11348914	9242930	1052992	2398482	22346831	7487943	9827926	3685472	701995	15794881	1052992	350997	292498	7721942	2456981	1462489	701995	1520989	5030962	16262877	3977970
taxon_39	120585476	7139930	2379977	19039812	40459601	67432668	19039812	42839577	174531610	150731845	10313232	0	0	40459601	26179742	37286299	18246487	6346604	14279859	793326	38079624	11106557	37286299	42046252	793326	15866510	34112997	6346604	145178567	12693208	17453161	188811469	3966628	7139930	1586651	8726581	6346604	27766393	0	77745899	86472480	228477744	150731845	1586651	51566158	11899883	19039812	793326	97579037	0	1586651	73779272	7139930	18246487	32526346	139625288	54739460	109478919	793326	14279859	2379977	1586651	30146369	3173302	69019319	40459601	0	7933255	3173302	6346604	78539225	29353044	21419789	24593091	17453161	38079624	83299178	11106557	26973067	20626463	23006440	28559718	6346604	3966628	0	209437932	38872950	36492973	15866510	50772832	195951399	58706087	4759953	46012879	793326	5553279	793326	23799765	31733020	8726581	19039812	3173302	4759953	17453161	42046252	21419789	131692033	236410999	0	5553279	1586651	38872950	793326	53152809	16659836	61879389	3966628	25386416	73779272	29353044	34112997	19833138	793326	75365923	72192621	48392856	6346604	15073185	12693208	193571422	237997650	14279859	60292738	26179742	69019319	46806205	179291563	29353044	2379977	3966628	11899883	73779272	39666275	8726581	75365923	15073185	6346604	60292738	14279859	16659836	128518731	49186181	120585476	3173302	84092503	72192621	55532785	15073185	14279859	29353044	793326	40459601	9519906	127725406	12693208	793326	7139930	123758778	3966628	33319671	14279859	11106557	44426228	147558543	6346604	21419789	1586651	195158073	0	76952574	85679154	10313232	30146369	169771657	128518731	40459601	7933255	2379977	39666275	7139930	4759953	2379977	237204325	16659836	25386416	7933255	12693208	325263455	3966628	23006440
taxon_232	0	5176945	0	11324567	4206268	970677	1294236	2588472	323559	11324567	970677	0	1294236	2588472	647118	19089984	1941354	647118	970677	2912031	13265921	1941354	3882709	323559	0	3235590	4529827	0	9706771	3559150	1294236	2264913	647118	1941354	9383212	2588472	2264913	2264913	647118	6147622	323559	6794740	1941354	1294236	0	1617795	323559	647118	0	6471181	3882709	323559	1294236	647118	647118	1617795	323559	1941354	1617795	5824063	0	1294236	0	647118	21678456	5824063	323559	647118	1617795	323559	1941354	1294236	0	17472189	970677	1294236	647118	0	970677	1617795	7118299	647118	647118	647118	2264913	29120314	15207275	1941354	1294236	647118	3235590	10030331	3882709	7118299	7765417	647118	647118	647118	4529827	2588472	21678456	647118	0	2588472	1294236	0	1294236	11648126	1941354	1617795	647118	0	1294236	3882709	0	323559	970677	970677	1617795	323559	970677	323559	1617795	8412535	647118	323559	970677	323559	323559	9383212	3559150	1617795	0	5176945	2912031	17795748	9706771	12618803	20707779	1941354	0	3559150	323559	647118	5500504	7118299	1617795	2588472	3559150	647118	8088976	5500504	9383212	5500504	970677	4529827	1941354	2912031	970677	1294236	1294236	7765417	323559	3235590	323559	647118	6147622	4853386	0	3882709	1294236	0	1941354	9383212	1617795	323559	5500504	13589480	323559	970677	2588472	2264913	0	2912031	13265921	647118	6794740	1941354	2912031	647118	0	4206268	20384220	0	647118	1294236	4206268	3559150	1941354	3882709
taxon_5	1035187	40596	0	101489	487147	426253	20298	223276	507445	40596	0	0	0	81191	0	223276	162382	20298	0	0	202978	60893	243573	81191	0	20298	20298	20298	487147	60893	60893	771316	20298	20298	121787	81191	40596	0	0	405956	365360	568338	202978	0	304467	60893	60893	40596	385658	60893	60893	40596	101489	0	243573	466849	223276	243573	20298	182680	0	0	40596	121787	182680	40596	0	60893	0	162382	121787	20298	0	60893	101489	629231	426253	0	121787	20298	182680	20298	60893	101489	0	405956	182680	40596	20298	426253	284169	0	81191	101489	284169	60893	20298	20298	365360	0	304467	0	40596	0	81191	0	142084	953996	20298	0	20298	40596	60893	426253	121787	20298	101489	40596	385658	40596	101489	20298	20298	20298	162382	649529	60893	142084	142084	507445	345062	20298	345062	121787	0	20298	588636	81191	20298	40596	40596	243573	223276	0	202978	223276	81191	304467	40596	0	81191	263871	40596	40596	466849	263871	649529	142084	81191	0	20298	40596	60893	202978	0	0	0	20298	20298	60893	0	142084	142084	243573	0	40596	0	345062	0	446551	101489	81191	0	223276	649529	20298	466849	0	101489	20298	0	20298	588636	0	40596	0	60893	1461440	0	40596
