Observed	Shannon
sample_887	183	1.15627553512345
sample_257	181	1.64659276507219
sample_377	159	1.20072357131271
sample_594	201	1.91801097129506
sample_220	214	2.40243167939876
sample_352	196	1.37644568428321
sample_266	175	1.81896235428889
sample_665	192	1.81251825744898
sample_986	201	1.89689920431152
sample_699	215	2.24825059621114
sample_593	186	2.47406712882571
sample_111	161	2.63014772307837
sample_88	175	3.21802932080704
sample_446	172	1.7291107552019
sample_267	184	3.03765694228414
sample_188	183	1.35111243487282
sample_973	198	2.64842470191543
sample_325	164	1.410663290482
sample_211	181	2.24740691122946
sample_660	156	2.51043009560159
sample_901	194	1.9846253881738
sample_116	161	1.37720622979093
sample_669	188	1.94973796891539
sample_588	199	1.82050913155315
sample_358	172	2.90481061934035
sample_215	168	1.77151825822241
sample_76	193	1.84711813186823
sample_265	197	3.02101962476384
sample_46	208	3.00416222852744
sample_182	158	1.11590542000542
sample_936	179	1.66063579913163
sample_546	188	1.31678089812502
sample_280	201	2.60426518735591
sample_994	209	3.42641954795218
sample_262	180	1.92486397729689
sample_15	154	2.26097924175425
sample_978	155	2.87486988021393
sample_828	197	2.48306310775924
sample_423	130	3.33687449681419
sample_899	210	2.49615774781317
sample_898	132	0.895809549579017
sample_792	200	1.6504893964266
sample_734	222	3.32130510606401
sample_242	167	2.00386672457208
sample_49	197	2.69678203490987
sample_644	159	1.56006812738864
sample_61	195	1.92130630494772
sample_837	197	2.62489225225037
sample_443	172	1.39961716732091
sample_469	189	3.39697236894924
sample_808	196	2.29988267125148
sample_954	180	1.5392432133739
sample_195	195	2.38117783042031
sample_789	171	1.66261995571987
sample_557	197	1.88166483174642
sample_194	216	3.25175735888966
sample_632	199	2.65973639224943
sample_860	215	3.18692473772296
sample_886	189	3.01344462158834
sample_841	218	3.11323096272968
sample_34	191	3.44590794675988
sample_780	179	3.15812670187671
sample_334	194	2.72885289666674
sample_387	157	1.84127178480493
sample_612	220	2.52140218743761
sample_433	188	2.02641534685361
sample_798	188	2.81693784457505
sample_793	174	2.01180148008348
sample_246	185	2.67657155613487
sample_166	207	2.12032552663789
sample_183	149	1.29935901833121
sample_44	213	3.30618028879852
sample_498	179	2.22539672474802
sample_293	190	2.12013277822562
sample_866	183	2.52920437609101
sample_929	188	1.99375388575623
sample_278	216	2.35168218708112
sample_778	151	2.20365737076968
sample_630	190	2.47148242811638
sample_795	189	2.1244621840525
sample_140	195	1.54646183386308
sample_829	159	1.50483577850409
sample_673	158	1.18566483674659
sample_732	168	2.11819427546433
sample_59	140	2.45008149606868
sample_83	172	1.68525621067555
sample_613	163	1.58186340383836
sample_646	182	1.4776604365237
sample_180	197	3.19583508497312
sample_200	196	1.83289184189953
sample_809	178	1.8634281000369
sample_471	180	1.47552945076249
sample_979	218	3.11157669362164
sample_518	179	1.86436210089992
sample_87	175	2.0711938939453
sample_714	200	3.02322246085153
sample_411	137	2.74666944646102
sample_722	194	2.49467067104839
sample_512	177	2.07233960762007
sample_289	193	2.21729273825138
sample_786	192	1.62209375546214
sample_28	182	2.87200358657683
sample_404	216	3.46028403697551
sample_122	175	2.38085128989075
sample_238	203	2.74051228600619
sample_64	178	2.01250200221639
sample_31	180	2.27487481255758
sample_730	183	1.6022395688308
sample_131	152	1.67704404818679
sample_696	182	2.80908868101347
sample_843	163	1.44193088418664
sample_909	220	3.28066748704542
sample_707	189	3.30453043514068
sample_317	182	1.55848317336264
sample_441	192	2.01288603648772
sample_721	178	1.91942432403352
sample_277	187	1.61654259669847
sample_344	181	1.49316736738759
sample_189	195	2.25173873997131
sample_713	192	1.45587040340366
sample_400	166	1.74052039491159
sample_604	165	1.70112025304373
sample_154	150	2.46116881469251
sample_38	145	1.08781632690882
sample_904	232	2.67662802450877
sample_508	218	2.26581376779851
sample_436	199	2.20988171636668
sample_442	218	3.6544806970889
sample_233	204	2.48510181839674
sample_692	208	1.92377733677384
sample_870	189	1.65921468734157
sample_10	175	2.54805549660184
sample_602	175	1.74891349070253
sample_158	217	3.22765592615285
sample_307	188	2.38345420677116
sample_631	180	1.33539363236547
sample_424	180	1.39033948397142
sample_519	167	1.60775728860091
sample_305	196	2.25931905600273
sample_354	163	2.49306398044295
sample_955	186	2.22995705347073
sample_376	174	1.58399185784513
sample_229	187	1.70384102512544
sample_524	176	2.22675514508808
sample_231	201	1.83608522274632
sample_385	199	3.19331619325778
sample_218	161	1.72611170712419
sample_657	197	2.4332892812188
sample_142	211	3.03177778200706
sample_248	193	1.90979692749558
sample_641	212	1.99139638118829
sample_148	219	2.33433825430839
sample_663	190	1.27292992549984
sample_435	203	3.53343639731569
sample_548	215	2.34559970152182
sample_906	200	3.10787353209701
sample_896	197	1.66563041997816
sample_306	190	1.44774639156636
sample_514	202	2.59298651446444
sample_201	206	3.43772087782177
sample_664	173	1.35159379840148
sample_872	213	1.90188871840806
sample_757	189	2.8776351408403
sample_768	192	1.56559706610522
sample_988	177	2.87073985771884
sample_737	171	2.60531356654393
sample_788	182	2.17631066646336
sample_831	208	1.80673957030398
sample_827	198	3.26068269865565
sample_879	203	3.38387620612924
sample_802	178	1.92307482858459
sample_349	215	2.55824997538238
sample_958	188	1.41708569419037
sample_703	184	1.5649508233856
sample_525	186	2.3903585985708
sample_473	163	1.49513190245469
sample_197	155	1.67978267431597
sample_645	211	3.67842298863294
sample_848	110	2.68029347440942
sample_946	182	1.17586491467232
sample_147	191	2.25852290422198
sample_234	164	1.71274810356748
sample_396	157	2.46840054961599
sample_920	211	2.33021436096314
sample_564	178	1.94729791672141
sample_626	200	2.44592333488615
sample_764	202	3.10857688265626
sample_401	167	1.63439442237941
sample_310	193	2.36736322072112
sample_228	197	3.39958589964086
sample_796	176	2.86664339136643
