Observed	Shannon
sample_887	147	1.16441597641131
sample_257	50	1.48100032522872
sample_377	59	1.11421784686963
sample_594	94	1.85099232324163
sample_220	144	2.39223042629084
sample_352	153	1.37242729111446
sample_266	90	1.72633962664657
sample_665	117	1.76186787442969
sample_986	119	1.90284487537916
sample_699	161	2.2389958801924
sample_593	64	2.41398134689353
sample_111	72	2.59735031553333
sample_88	102	3.17970365599982
sample_446	108	1.69752899785051
sample_267	66	3.02293972081136
sample_188	150	1.33264470912999
sample_973	81	2.52580075525679
sample_325	58	1.34387577158596
sample_211	62	2.18804253084189
sample_660	63	2.36022133438616
sample_901	161	2.00854878583418
sample_116	83	1.36465764829378
sample_669	84	1.82259945488011
sample_588	109	1.77396165572818
sample_358	51	2.76288542907802
sample_215	138	1.73283173218751
sample_76	108	1.7853868142735
sample_265	55	2.84972610907469
sample_46	159	2.96956167258149
sample_182	140	1.11203078487107
sample_936	58	1.53330413251294
sample_546	164	1.3208453765257
sample_280	55	2.375338695886
sample_994	54	3.17845597155225
sample_262	102	1.89892021225541
sample_15	74	2.25437302207172
sample_978	48	2.82044510307521
sample_828	61	2.28989400625112
sample_423	37	2.99309003636641
sample_899	133	2.50229759374644
sample_898	100	0.887039232042795
sample_792	173	1.63449756158024
sample_734	145	3.21241030845034
sample_242	55	1.98093547814842
sample_49	143	2.6992785023207
sample_644	53	1.47361353045001
sample_61	134	1.93239708619213
sample_837	72	2.47421668219936
sample_443	117	1.38148503270609
sample_469	90	3.36533515791134
sample_808	95	2.19799647373107
sample_954	63	1.43179703992785
sample_195	142	2.34062551108538
sample_789	87	1.60227972158301
sample_557	78	1.83572899233213
sample_194	165	3.24116213811287
sample_632	126	2.61178370732654
sample_860	139	3.13494104287683
sample_886	81	2.99654866100129
sample_841	114	3.01982790788263
sample_34	57	3.21575715118676
sample_780	70	2.96160440512218
sample_334	85	2.69913814198137
sample_387	84	1.7880922975154
sample_612	127	2.4598436772053
sample_433	103	2.03415004772524
sample_798	76	2.62301998061775
sample_793	76	2.00048286699056
sample_246	58	2.65772425640287
sample_166	117	2.06825174313292
sample_183	128	1.287026721504
sample_44	54	2.98785660285755
sample_498	95	2.20311785590082
sample_293	142	2.12069479286557
sample_866	82	2.47157133729206
sample_929	154	2.00514295394621
sample_278	136	2.28800765756147
sample_778	66	2.15761852194203
sample_630	109	2.39929709947505
sample_795	71	2.06382118774459
sample_140	170	1.54592678786816
sample_829	94	1.53011077393046
sample_673	61	1.14619836996949
sample_732	51	2.04051641769038
sample_59	46	2.3032984720743
sample_83	147	1.67284687244002
sample_613	163	1.58193163174728
sample_646	117	1.46338261579919
sample_180	66	3.1201795791923
sample_200	127	1.8134637478581
sample_809	112	1.78186037049993
sample_471	110	1.43995853583192
sample_979	123	3.10233321892744
sample_518	156	1.84394506447866
sample_87	145	2.05162462465248
sample_714	74	2.9341400760238
sample_411	49	2.64187204250124
sample_722	82	2.29552595586186
sample_512	148	2.07398727202906
sample_289	63	2.07461657317269
sample_786	134	1.59107420056485
sample_28	47	2.74355984136372
sample_404	87	3.2656433422428
sample_122	106	2.44011774033319
sample_238	117	2.6671627137391
sample_64	75	1.95159229139937
sample_31	82	2.30789748152253
sample_730	131	1.58667219485773
sample_131	55	1.47052871040664
sample_696	76	2.77037665185773
sample_843	61	1.31676460472005
sample_909	97	3.0463103816763
sample_707	74	3.06181785162645
sample_317	132	1.56919503706206
sample_441	84	2.00173182604939
sample_721	117	1.90479597913847
sample_277	133	1.61305851948246
sample_344	120	1.49150835986413
sample_189	121	2.19707052721218
sample_713	62	1.33772480011807
sample_400	82	1.71455762688097
sample_604	61	1.55211663684567
sample_154	51	2.39796734771582
sample_38	83	1.03209790923951
sample_904	120	2.60787950839321
sample_508	162	2.24416241503125
sample_436	70	2.16767709186556
sample_442	104	3.56626417367203
sample_233	74	2.3543002087033
sample_692	146	1.92428847425444
sample_870	156	1.65049459102088
sample_10	71	2.48041665291368
sample_602	94	1.744764838254
sample_158	127	3.16390216977327
sample_307	129	2.36311928466937
sample_631	102	1.2802015983828
sample_424	177	1.38795120296649
sample_519	86	1.5428393084785
sample_305	105	2.20766012462851
sample_354	65	2.45706221931777
sample_955	88	2.25511387942959
sample_376	160	1.58165880010506
sample_229	66	1.58374031382769
sample_524	36	1.97431598179481
sample_231	147	1.84544137176353
sample_385	116	3.11433283843781
sample_218	56	1.67244721481362
sample_657	152	2.42089119707706
sample_142	76	2.87621482676995
sample_248	64	1.83468101536063
sample_641	132	1.90280046693353
sample_148	98	2.29988822814811
sample_663	90	1.23711005501133
sample_435	82	3.27294229529128
sample_548	123	2.28392319456212
sample_906	126	3.05015730221501
sample_896	127	1.67805693416543
sample_306	143	1.43425339840272
sample_514	84	2.47328554479022
sample_201	111	3.31080795599872
sample_664	101	1.30344540668201
sample_872	152	1.92075567735842
sample_757	66	2.80877526279107
sample_768	128	1.56579010932152
sample_988	85	2.93043037671164
sample_737	63	2.57265798059783
sample_788	105	2.14473240256663
sample_831	137	1.83813641274976
sample_827	84	3.19182425866018
sample_879	136	3.33901319944163
sample_802	84	1.88789014913329
sample_349	96	2.46692165916955
sample_958	148	1.43686167322962
sample_703	161	1.5667191009499
sample_525	73	2.32920081778392
sample_473	96	1.52864501108462
sample_197	90	1.6429862651383
sample_645	153	3.61601293500399
sample_848	35	2.65852901105082
sample_946	125	1.16240022252211
sample_147	67	2.13786627138046
sample_234	47	1.70149204255434
sample_396	99	2.35728284129254
sample_920	175	2.32656846077179
sample_564	119	1.9081104840917
sample_626	125	2.44267441964368
sample_764	105	3.02659870688873
sample_401	90	1.55620018160499
sample_310	128	2.30320295655557
sample_228	93	3.23923293897181
sample_796	75	2.75726483413972
sample_409	50	2.115798220331
sample_239	167	2.42467159185262
sample_323	49	1.71664848987081
sample_146	63	1.37042745745245
sample_987	51	3.30134164597715
sample_969	87	1.4987000888697
sample_889	167	2.5209669453707
sample_448	76	1.83506810237258
sample_515	99	1.69274312803749
