Observed	Shannon
sample_887	131	1.15905602599435
sample_257	135	1.64676024081543
sample_377	113	1.21532969466111
sample_594	151	1.92237239216567
sample_220	181	2.41182282104063
sample_352	134	1.33470804729587
sample_266	154	1.82650752877738
sample_665	157	1.81291649136558
sample_986	152	1.87763837006643
sample_699	170	2.22994077769899
sample_593	141	2.44545407081537
sample_111	142	2.62019242696059
sample_88	165	3.18682739999744
sample_446	136	1.73362006667571
sample_267	168	3.05583441468541
sample_188	126	1.3566231943501
sample_973	161	2.62537046727301
sample_325	117	1.40767173179527
sample_211	142	2.26212613122069
sample_660	145	2.49935096296161
sample_901	145	1.97263864498006
sample_116	134	1.39825144765394
sample_669	157	1.9003372973905
sample_588	162	1.84730417342136
sample_358	147	2.89876414536035
sample_215	143	1.77169406136505
sample_76	146	1.82880773750256
sample_265	158	3.00958330575592
sample_46	189	3.01041789370548
sample_182	105	1.10048032929787
sample_936	135	1.65062943993029
sample_546	128	1.29547112685449
sample_280	165	2.62680936164327
sample_994	173	3.41455888185475
sample_262	146	1.95199243010104
sample_15	135	2.25162717639558
sample_978	143	2.86414627198627
sample_828	167	2.48470522930358
sample_423	118	3.3334072714792
sample_899	184	2.51425869718248
sample_898	104	0.909375703750641
sample_792	140	1.64453750891505
sample_734	190	3.30788219176265
sample_242	137	1.98066974870573
sample_49	155	2.68720248136158
sample_644	130	1.54137357703626
sample_61	154	1.91422782131198
sample_837	149	2.59506831414574
sample_443	133	1.39421619690131
sample_469	172	3.3950921135597
sample_808	159	2.24687207301892
sample_954	147	1.54135556663435
sample_195	158	2.38179915821701
sample_789	137	1.66818471434771
sample_557	148	1.86892932164413
sample_194	185	3.23625621046309
sample_632	177	2.67710550790802
sample_860	195	3.1756972780332
sample_886	154	2.99621505486861
sample_841	176	3.09723559739103
sample_34	163	3.41916487490698
sample_780	151	3.16925950492508
sample_334	168	2.71871244150111
sample_387	137	1.83450181769696
sample_612	174	2.47929471238948
sample_433	165	2.02960093169347
sample_798	154	2.77973843025696
sample_793	152	2.02617286062404
sample_246	161	2.67725438018349
sample_166	167	2.11239536258414
sample_183	128	1.28278270751395
sample_44	168	3.33760521514588
sample_498	159	2.21721502157288
sample_293	158	2.12040186388653
sample_866	162	2.50012591677658
sample_929	159	1.97141166190653
sample_278	179	2.34657964854365
sample_778	138	2.21575596603731
sample_630	163	2.4534381998855
sample_795	159	2.12815861427319
sample_140	140	1.52716708463176
sample_829	128	1.49865442741908
sample_673	110	1.15040455360714
sample_732	135	2.1467035812943
sample_59	120	2.46687990420667
sample_83	140	1.68563047142526
sample_613	133	1.58219565030525
sample_646	135	1.45748775055443
sample_180	169	3.19016910628372
sample_200	147	1.84031376148544
sample_809	164	1.82852398984243
sample_471	148	1.43365192801356
sample_979	190	3.11412050279163
sample_518	151	1.83332018138689
sample_87	148	2.106291056891
sample_714	161	2.980316698134
sample_411	127	2.76267773802763
sample_722	158	2.48478914609079
sample_512	157	2.08714620502922
sample_289	156	2.21264385430616
sample_786	147	1.60065896694385
sample_28	155	2.87672502281136
sample_404	187	3.45627451798601
sample_122	148	2.36804192636631
sample_238	169	2.70962097076902
sample_64	140	1.98200329309252
sample_31	158	2.2738373887734
sample_730	151	1.60839113117759
sample_131	127	1.67128468110362
sample_696	165	2.79899996433789
sample_843	127	1.42405992330274
sample_909	188	3.28087948425531
sample_707	157	3.30597115557061
sample_317	134	1.55062813728829
sample_441	163	1.98622434805256
sample_721	147	1.91128766530707
sample_277	145	1.60064041653297
sample_344	141	1.4821091137638
sample_189	158	2.2627150238505
sample_713	141	1.46839780054901
sample_400	131	1.72441199443106
sample_604	126	1.70211622310215
sample_154	129	2.48449774818009
sample_38	119	1.10763325521686
sample_904	177	2.70605063601701
sample_508	164	2.25650238486833
sample_436	149	2.22390785464211
sample_442	174	3.62624903373947
sample_233	160	2.46773343186915
sample_692	149	1.8853844957683
sample_870	138	1.65113705453816
sample_10	161	2.56091622148044
sample_602	146	1.73524958323954
sample_158	181	3.19304258797416
sample_307	151	2.38221794265157
sample_631	130	1.29463145262559
sample_424	129	1.36612469740357
sample_519	140	1.60060880994043
sample_305	158	2.2413259335744
sample_354	147	2.49366669731156
sample_955	157	2.21590366671224
sample_376	144	1.58233276440467
sample_229	147	1.74089779081107
sample_524	136	2.23556214283197
sample_231	160	1.80764349378445
sample_385	183	3.19830837677451
sample_218	128	1.73410463538975
sample_657	169	2.44728627342173
sample_142	178	3.01548717505066
sample_248	142	1.86578211372217
sample_641	157	1.97784305176081
sample_148	164	2.29446642037829
sample_663	129	1.27837207826142
sample_435	170	3.50788093660591
sample_548	178	2.32275600593408
