Observed	Shannon
sample_887	297	1.18130522619176
sample_257	271	1.67178456488634
sample_377	253	1.21010775358959
sample_594	282	1.91376856135428
sample_220	293	2.3939056452881
sample_352	295	1.37644704623384
sample_266	286	1.82762583280686
sample_665	297	1.81895434813249
sample_986	295	1.9273941965426
sample_699	298	2.23460520999022
sample_593	271	2.46906352871413
sample_111	233	2.62914699706405
sample_88	246	3.24601626689103
sample_446	288	1.72261998678659
sample_267	265	3.0491967817305
sample_188	295	1.36044956067186
sample_973	280	2.65827864143981
sample_325	255	1.42280990435065
sample_211	250	2.25125951707109
sample_660	245	2.51439645501275
sample_901	294	2.00336191090733
sample_116	277	1.38833419282569
sample_669	296	1.94623550135297
sample_588	282	1.83124757607079
sample_358	217	2.91183464640232
sample_215	288	1.806643844295
sample_76	286	1.87868289084158
sample_265	256	3.03972504921713
sample_46	298	3.02933908393323
sample_182	294	1.12306736283599
sample_936	274	1.67481662675879
sample_546	298	1.33879521324812
sample_280	264	2.59447074953183
sample_994	268	3.43250748742598
sample_262	291	1.9225711206059
sample_15	233	2.27016203515908
sample_978	228	2.89395231357376
sample_828	271	2.47930574714833
sample_423	155	3.34632374031416
sample_899	293	2.51155948008038
sample_898	295	0.90653703230399
sample_792	298	1.63723285933006
sample_734	297	3.35227617379386
sample_242	245	2.05884920873927
sample_49	291	2.72908202169548
sample_644	254	1.57132851249074
sample_61	298	1.91310194331613
sample_837	265	2.63702735753638
sample_443	297	1.4409194202988
sample_469	256	3.39695399203777
sample_808	285	2.30394072516792
sample_954	288	1.555325959093
sample_195	287	2.36567977305103
sample_789	281	1.65602038230834
sample_557	286	1.90298276260241
sample_194	294	3.27575900041791
sample_632	300	2.66970498342909
sample_860	299	3.20435613937677
sample_886	247	3.01570833964266
sample_841	285	3.12302850250229
sample_34	242	3.45233983255232
sample_780	233	3.15847432667038
sample_334	269	2.72997746271182
sample_387	270	1.8703597597971
sample_612	297	2.542648440999
sample_433	292	2.01404177712127
sample_798	254	2.8350738140511
sample_793	277	2.00226348377159
sample_246	260	2.66977557178532
sample_166	290	2.12799829706838
sample_183	296	1.34316133253843
sample_44	265	3.31728878083405
sample_498	281	2.2392273091202
